year,state,state_po,county,office,candidate,party,candidatevotes,mode
2004,NORTH CAROLINA,NC,CASWELL,US PRESIDENT,JOHN KERRY,DEMOCRAT,4539,TOTAL
2004,NORTH CAROLINA,NC,CASWELL,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,4868,TOTAL
2004,NORTH CAROLINA,NC,CATAWBA,US PRESIDENT,JOHN KERRY,DEMOCRAT,18858,TOTAL
2004,NORTH CAROLINA,NC,CATAWBA,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,39602,TOTAL
2004,NORTH CAROLINA,NC,CHATHAM,US PRESIDENT,JOHN KERRY,DEMOCRAT,12897,TOTAL
2004,NORTH CAROLINA,NC,CHATHAM,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,12892,TOTAL
2004,NORTH CAROLINA,NC,CHEROKEE,US PRESIDENT,JOHN KERRY,DEMOCRAT,3635,TOTAL
2004,NORTH CAROLINA,NC,CHEROKEE,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,7517,TOTAL
2004,NORTH CAROLINA,NC,CHOWAN,US PRESIDENT,JOHN KERRY,DEMOCRAT,2406,TOTAL
2004,NORTH CAROLINA,NC,CHOWAN,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,2967,TOTAL
2004,NORTH CAROLINA,NC,CLAY,US PRESIDENT,JOHN KERRY,DEMOCRAT,1628,TOTAL
2004,NORTH CAROLINA,NC,CLAY,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,3209,TOTAL
2004,NORTH CAROLINA,NC,CLEVELAND,US PRESIDENT,JOHN KERRY,DEMOCRAT,14215,TOTAL
2004,NORTH CAROLINA,NC,CLEVELAND,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,22750,TOTAL
2004,NORTH CAROLINA,NC,COLUMBUS,US PRESIDENT,JOHN KERRY,DEMOCRAT,10343,TOTAL
2004,NORTH CAROLINA,NC,COLUMBUS,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,10773,TOTAL
2004,NORTH CAROLINA,NC,CRAVEN,US PRESIDENT,JOHN KERRY,DEMOCRAT,14019,TOTAL
2004,NORTH CAROLINA,NC,CRAVEN,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,23575,TOTAL
2004,NORTH CAROLINA,NC,CUMBERLAND,US PRESIDENT,JOHN KERRY,DEMOCRAT,45788,TOTAL
2004,NORTH CAROLINA,NC,CUMBERLAND,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,49139,TOTAL
2004,NORTH CAROLINA,NC,CURRITUCK,US PRESIDENT,JOHN KERRY,DEMOCRAT,2909,TOTAL
2004,NORTH CAROLINA,NC,CURRITUCK,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,6013,TOTAL
2004,NORTH CAROLINA,NC,DARE,US PRESIDENT,JOHN KERRY,DEMOCRAT,6136,TOTAL
2004,NORTH CAROLINA,NC,DARE,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,9345,TOTAL
2004,NORTH CAROLINA,NC,DAVIDSON,US PRESIDENT,JOHN KERRY,DEMOCRAT,17191,TOTAL
2004,NORTH CAROLINA,NC,DAVIDSON,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,42075,TOTAL
2004,NORTH CAROLINA,NC,DAVIE,US PRESIDENT,JOHN KERRY,DEMOCRAT,4233,TOTAL
2004,NORTH CAROLINA,NC,DAVIE,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,12372,TOTAL
2004,NORTH CAROLINA,NC,DUPLIN,US PRESIDENT,JOHN KERRY,DEMOCRAT,6923,TOTAL
2004,NORTH CAROLINA,NC,DUPLIN,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,9611,TOTAL
2004,NORTH CAROLINA,NC,DURHAM,US PRESIDENT,JOHN KERRY,DEMOCRAT,74524,TOTAL
2004,NORTH CAROLINA,NC,DURHAM,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,34614,TOTAL
2004,NORTH CAROLINA,NC,EDGECOMBE,US PRESIDENT,JOHN KERRY,DEMOCRAT,12877,TOTAL
2004,NORTH CAROLINA,NC,EDGECOMBE,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,8163,TOTAL
2004,NORTH CAROLINA,NC,FORSYTH,US PRESIDENT,JOHN KERRY,DEMOCRAT,63340,TOTAL
2004,NORTH CAROLINA,NC,FORSYTH,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,75294,TOTAL
2004,NORTH CAROLINA,NC,FRANKLIN,US PRESIDENT,JOHN KERRY,DEMOCRAT,9286,TOTAL
2004,NORTH CAROLINA,NC,FRANKLIN,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,11540,TOTAL
2004,NORTH CAROLINA,NC,GASTON,US PRESIDENT,JOHN KERRY,DEMOCRAT,20254,TOTAL
2004,NORTH CAROLINA,NC,GASTON,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,43252,TOTAL
2004,NORTH CAROLINA,NC,GATES,US PRESIDENT,JOHN KERRY,DEMOCRAT,2121,TOTAL
2004,NORTH CAROLINA,NC,GATES,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,1924,TOTAL
2004,NORTH CAROLINA,NC,GRAHAM,US PRESIDENT,JOHN KERRY,DEMOCRAT,1272,TOTAL
2004,NORTH CAROLINA,NC,GRAHAM,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,2693,TOTAL
2004,NORTH CAROLINA,NC,GRANVILLE,US PRESIDENT,JOHN KERRY,DEMOCRAT,9057,TOTAL
2004,NORTH CAROLINA,NC,GRANVILLE,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,9491,TOTAL
2004,NORTH CAROLINA,NC,GREENE,US PRESIDENT,JOHN KERRY,DEMOCRAT,2665,TOTAL
2004,NORTH CAROLINA,NC,GREENE,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,3800,TOTAL
2004,NORTH CAROLINA,NC,GUILFORD,US PRESIDENT,JOHN KERRY,DEMOCRAT,100042,TOTAL
2004,NORTH CAROLINA,NC,GUILFORD,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,98254,TOTAL
2004,NORTH CAROLINA,NC,HALIFAX,US PRESIDENT,JOHN KERRY,DEMOCRAT,11528,TOTAL
2004,NORTH CAROLINA,NC,HALIFAX,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,8088,TOTAL
2004,NORTH CAROLINA,NC,HARNETT,US PRESIDENT,JOHN KERRY,DEMOCRAT,11563,TOTAL
2004,NORTH CAROLINA,NC,HARNETT,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,20922,TOTAL
2004,NORTH CAROLINA,NC,HAYWOOD,US PRESIDENT,JOHN KERRY,DEMOCRAT,11237,TOTAL
2004,NORTH CAROLINA,NC,HAYWOOD,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,14545,TOTAL
2004,NORTH CAROLINA,NC,HENDERSON,US PRESIDENT,JOHN KERRY,DEMOCRAT,15003,TOTAL
2004,NORTH CAROLINA,NC,HENDERSON,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,28025,TOTAL
2004,NORTH CAROLINA,NC,HERTFORD,US PRESIDENT,JOHN KERRY,DEMOCRAT,5141,TOTAL
2004,NORTH CAROLINA,NC,HERTFORD,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,2942,TOTAL
2004,NORTH CAROLINA,NC,HOKE,US PRESIDENT,JOHN KERRY,DEMOCRAT,5794,TOTAL
2004,NORTH CAROLINA,NC,HOKE,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,5257,TOTAL
2004,NORTH CAROLINA,NC,HYDE,US PRESIDENT,JOHN KERRY,DEMOCRAT,1048,TOTAL
2004,NORTH CAROLINA,NC,HYDE,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,1235,TOTAL
2004,NORTH CAROLINA,NC,IREDELL,US PRESIDENT,JOHN KERRY,DEMOCRAT,18065,TOTAL
2004,NORTH CAROLINA,NC,IREDELL,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,38675,TOTAL
2004,NORTH CAROLINA,NC,JACKSON,US PRESIDENT,JOHN KERRY,DEMOCRAT,6737,TOTAL
2004,NORTH CAROLINA,NC,JACKSON,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,7351,TOTAL
2004,NORTH CAROLINA,NC,JOHNSTON,US PRESIDENT,JOHN KERRY,DEMOCRAT,17266,TOTAL
2004,NORTH CAROLINA,NC,JOHNSTON,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,36903,TOTAL
2004,NORTH CAROLINA,NC,JONES,US PRESIDENT,JOHN KERRY,DEMOCRAT,1893,TOTAL
2004,NORTH CAROLINA,NC,JONES,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,2607,TOTAL
2004,NORTH CAROLINA,NC,LEE,US PRESIDENT,JOHN KERRY,DEMOCRAT,7657,TOTAL
2004,NORTH CAROLINA,NC,LEE,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,11834,TOTAL
2004,NORTH CAROLINA,NC,LENOIR,US PRESIDENT,JOHN KERRY,DEMOCRAT,10207,TOTAL
2004,NORTH CAROLINA,NC,LENOIR,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,12939,TOTAL
2004,NORTH CAROLINA,NC,LINCOLN,US PRESIDENT,JOHN KERRY,DEMOCRAT,9434,TOTAL
2004,NORTH CAROLINA,NC,LINCOLN,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,20052,TOTAL
2004,NORTH CAROLINA,NC,MCDOWELL,US PRESIDENT,JOHN KERRY,DEMOCRAT,5330,TOTAL
2004,NORTH CAROLINA,NC,MCDOWELL,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,10590,TOTAL
2004,NORTH CAROLINA,NC,MACON,US PRESIDENT,JOHN KERRY,DEMOCRAT,5489,TOTAL
2004,NORTH CAROLINA,NC,MACON,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,9448,TOTAL
2004,NORTH CAROLINA,NC,MADISON,US PRESIDENT,JOHN KERRY,DEMOCRAT,4234,TOTAL
2004,NORTH CAROLINA,NC,MADISON,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,5175,TOTAL
2004,NORTH CAROLINA,NC,MARTIN,US PRESIDENT,JOHN KERRY,DEMOCRAT,5102,TOTAL
2004,NORTH CAROLINA,NC,MARTIN,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,5334,TOTAL
2004,NORTH CAROLINA,NC,MECKLENBURG,US PRESIDENT,JOHN KERRY,DEMOCRAT,166828,TOTAL
2004,NORTH CAROLINA,NC,MECKLENBURG,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,155084,TOTAL
2004,NORTH CAROLINA,NC,MITCHELL,US PRESIDENT,JOHN KERRY,DEMOCRAT,2080,TOTAL
2004,NORTH CAROLINA,NC,MITCHELL,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,5686,TOTAL
2004,NORTH CAROLINA,NC,MONTGOMERY,US PRESIDENT,JOHN KERRY,DEMOCRAT,4313,TOTAL
2004,NORTH CAROLINA,NC,MONTGOMERY,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,5745,TOTAL
2004,NORTH CAROLINA,NC,MOORE,US PRESIDENT,JOHN KERRY,DEMOCRAT,13555,TOTAL
2004,NORTH CAROLINA,NC,MOORE,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,24714,TOTAL
2004,NORTH CAROLINA,NC,NASH,US PRESIDENT,JOHN KERRY,DEMOCRAT,15693,TOTAL
2004,NORTH CAROLINA,NC,NASH,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,21902,TOTAL
2004,NORTH CAROLINA,NC,NEW HANOVER,US PRESIDENT,JOHN KERRY,DEMOCRAT,35572,TOTAL
2004,NORTH CAROLINA,NC,NEW HANOVER,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,45351,TOTAL
2004,NORTH CAROLINA,NC,NORTHAMPTON,US PRESIDENT,JOHN KERRY,DEMOCRAT,5584,TOTAL
2004,NORTH CAROLINA,NC,NORTHAMPTON,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,3176,TOTAL
2004,NORTH CAROLINA,NC,ONSLOW,US PRESIDENT,JOHN KERRY,DEMOCRAT,11250,TOTAL
2004,NORTH CAROLINA,NC,ONSLOW,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,25890,TOTAL
2004,NORTH CAROLINA,NC,ORANGE,US PRESIDENT,JOHN KERRY,DEMOCRAT,42910,TOTAL
2004,NORTH CAROLINA,NC,ORANGE,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,20771,TOTAL
2004,NORTH CAROLINA,NC,PAMLICO,US PRESIDENT,JOHN KERRY,DEMOCRAT,2335,TOTAL
2004,NORTH CAROLINA,NC,PAMLICO,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,3679,TOTAL
2004,NORTH CAROLINA,NC,PASQUOTANK,US PRESIDENT,JOHN KERRY,DEMOCRAT,6984,TOTAL
2004,NORTH CAROLINA,NC,PASQUOTANK,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,6609,TOTAL
2004,NORTH CAROLINA,NC,PENDER,US PRESIDENT,JOHN KERRY,DEMOCRAT,6999,TOTAL
2004,NORTH CAROLINA,NC,PENDER,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,10037,TOTAL
2004,NORTH CAROLINA,NC,PERQUIMANS,US PRESIDENT,JOHN KERRY,DEMOCRAT,1971,TOTAL
2004,NORTH CAROLINA,NC,PERQUIMANS,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,2965,TOTAL
2004,NORTH CAROLINA,NC,PERSON,US PRESIDENT,JOHN KERRY,DEMOCRAT,6198,TOTAL
2004,NORTH CAROLINA,NC,PERSON,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,8973,TOTAL
2004,NORTH CAROLINA,NC,PITT,US PRESIDENT,JOHN KERRY,DEMOCRAT,24924,TOTAL
2004,NORTH CAROLINA,NC,PITT,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,28590,TOTAL
2004,NORTH CAROLINA,NC,POLK,US PRESIDENT,JOHN KERRY,DEMOCRAT,3787,TOTAL
2004,NORTH CAROLINA,NC,POLK,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,5140,TOTAL
2004,NORTH CAROLINA,NC,RANDOLPH,US PRESIDENT,JOHN KERRY,DEMOCRAT,12966,TOTAL
2004,NORTH CAROLINA,NC,RANDOLPH,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,37771,TOTAL
2004,NORTH CAROLINA,NC,RICHMOND,US PRESIDENT,JOHN KERRY,DEMOCRAT,8383,TOTAL
2004,NORTH CAROLINA,NC,RICHMOND,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,7709,TOTAL
2004,NORTH CAROLINA,NC,ROBESON,US PRESIDENT,JOHN KERRY,DEMOCRAT,17868,TOTAL
2004,NORTH CAROLINA,NC,ROBESON,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,15909,TOTAL
2004,NORTH CAROLINA,NC,ROCKINGHAM,US PRESIDENT,JOHN KERRY,DEMOCRAT,14430,TOTAL
2004,NORTH CAROLINA,NC,ROCKINGHAM,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,22840,TOTAL
2004,NORTH CAROLINA,NC,ROWAN,US PRESIDENT,JOHN KERRY,DEMOCRAT,16735,TOTAL
2004,NORTH CAROLINA,NC,ROWAN,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,34915,TOTAL
2004,NORTH CAROLINA,NC,RUTHERFORD,US PRESIDENT,JOHN KERRY,DEMOCRAT,8184,TOTAL
2004,NORTH CAROLINA,NC,RUTHERFORD,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,16343,TOTAL
2004,NORTH CAROLINA,NC,SAMPSON,US PRESIDENT,JOHN KERRY,DEMOCRAT,9649,TOTAL
2004,NORTH CAROLINA,NC,SAMPSON,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,12600,TOTAL
2004,NORTH CAROLINA,NC,SCOTLAND,US PRESIDENT,JOHN KERRY,DEMOCRAT,6386,TOTAL
2004,NORTH CAROLINA,NC,SCOTLAND,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,5141,TOTAL
2004,NORTH CAROLINA,NC,STANLY,US PRESIDENT,JOHN KERRY,DEMOCRAT,7650,TOTAL
2004,NORTH CAROLINA,NC,STANLY,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,17814,TOTAL
2004,NORTH CAROLINA,NC,STOKES,US PRESIDENT,JOHN KERRY,DEMOCRAT,5767,TOTAL
2004,NORTH CAROLINA,NC,STOKES,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,13583,TOTAL
2004,NORTH CAROLINA,NC,SURRY,US PRESIDENT,JOHN KERRY,DEMOCRAT,8304,TOTAL
2004,NORTH CAROLINA,NC,SURRY,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,17587,TOTAL
2004,NORTH CAROLINA,NC,SWAIN,US PRESIDENT,JOHN KERRY,DEMOCRAT,2419,TOTAL
2004,NORTH CAROLINA,NC,SWAIN,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,2593,TOTAL
2004,NORTH CAROLINA,NC,TRANSYLVANIA,US PRESIDENT,JOHN KERRY,DEMOCRAT,6097,TOTAL
2004,NORTH CAROLINA,NC,TRANSYLVANIA,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,9386,TOTAL
2004,NORTH CAROLINA,NC,TYRRELL,US PRESIDENT,JOHN KERRY,DEMOCRAT,731,TOTAL
2004,NORTH CAROLINA,NC,TYRRELL,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,855,TOTAL
2004,NORTH CAROLINA,NC,UNION,US PRESIDENT,JOHN KERRY,DEMOCRAT,17974,TOTAL
2004,NORTH CAROLINA,NC,UNION,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,42820,TOTAL
2004,NORTH CAROLINA,NC,VANCE,US PRESIDENT,JOHN KERRY,DEMOCRAT,8762,TOTAL
2004,NORTH CAROLINA,NC,VANCE,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,6884,TOTAL
2004,NORTH CAROLINA,NC,WAKE,US PRESIDENT,JOHN KERRY,DEMOCRAT,169909,TOTAL
2004,NORTH CAROLINA,NC,WAKE,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,177324,TOTAL
2004,NORTH CAROLINA,NC,WARREN,US PRESIDENT,JOHN KERRY,DEMOCRAT,5171,TOTAL
2004,NORTH CAROLINA,NC,WARREN,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,2840,TOTAL
2004,NORTH CAROLINA,NC,WASHINGTON,US PRESIDENT,JOHN KERRY,DEMOCRAT,2969,TOTAL
2004,NORTH CAROLINA,NC,WASHINGTON,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,2484,TOTAL
2004,NORTH CAROLINA,NC,WATAUGA,US PRESIDENT,JOHN KERRY,DEMOCRAT,11232,TOTAL
2004,NORTH CAROLINA,NC,WATAUGA,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,12659,TOTAL
2004,NORTH CAROLINA,NC,WAYNE,US PRESIDENT,JOHN KERRY,DEMOCRAT,15076,TOTAL
2004,NORTH CAROLINA,NC,WAYNE,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,24883,TOTAL
2004,NORTH CAROLINA,NC,WILKES,US PRESIDENT,JOHN KERRY,DEMOCRAT,7862,TOTAL
2004,NORTH CAROLINA,NC,WILKES,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,19197,TOTAL
2004,NORTH CAROLINA,NC,WILSON,US PRESIDENT,JOHN KERRY,DEMOCRAT,14206,TOTAL
2004,NORTH CAROLINA,NC,WILSON,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,16264,TOTAL
2004,NORTH CAROLINA,NC,YADKIN,US PRESIDENT,JOHN KERRY,DEMOCRAT,3451,TOTAL
2004,NORTH CAROLINA,NC,YADKIN,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,11816,TOTAL
2004,NORTH CAROLINA,NC,YANCEY,US PRESIDENT,JOHN KERRY,DEMOCRAT,4434,TOTAL
2004,NORTH CAROLINA,NC,YANCEY,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,4940,TOTAL
2008,NORTH CAROLINA,NC,ALAMANCE,US PRESIDENT,BARACK OBAMA,DEMOCRAT,28918,TOTAL
2008,NORTH CAROLINA,NC,ALAMANCE,US PRESIDENT,JOHN MCCAIN,REPUBLICAN,34859,TOTAL
2008,NORTH CAROLINA,NC,ALEXANDER,US PRESIDENT,BARACK OBAMA,DEMOCRAT,5167,TOTAL
2008,NORTH CAROLINA,NC,ALEXANDER,US PRESIDENT,JOHN MCCAIN,REPUBLICAN,11790,TOTAL
2008,NORTH CAROLINA,NC,ALLEGHANY,US PRESIDENT,BARACK OBAMA,DEMOCRAT,2021,TOTAL
2008,NORTH CAROLINA,NC,ALLEGHANY,US PRESIDENT,JOHN MCCAIN,REPUBLICAN,3124,TOTAL
2008,NORTH CAROLINA,NC,ANSON,US PRESIDENT,BARACK OBAMA,DEMOCRAT,6456,TOTAL
2008,NORTH CAROLINA,NC,ANSON,US PRESIDENT,JOHN MCCAIN,REPUBLICAN,4207,TOTAL
2008,NORTH CAROLINA,NC,ASHE,US PRESIDENT,BARACK OBAMA,DEMOCRAT,4872,TOTAL
2008,NORTH CAROLINA,NC,ASHE,US PRESIDENT,JOHN MCCAIN,REPUBLICAN,7916,TOTAL
2008,NORTH CAROLINA,NC,AVERY,US PRESIDENT,BARACK OBAMA,DEMOCRAT,2178,TOTAL
2008,NORTH CAROLINA,NC,AVERY,US PRESIDENT,JOHN MCCAIN,REPUBLICAN,5681,TOTAL
2008,NORTH CAROLINA,NC,BEAUFORT,US PRESIDENT,BARACK OBAMA,DEMOCRAT,9454,TOTAL
2008,NORTH CAROLINA,NC,BEAUFORT,US PRESIDENT,JOHN MCCAIN,REPUBLICAN,13460,TOTAL
2008,NORTH CAROLINA,NC,BERTIE,US PRESIDENT,BARACK OBAMA,DEMOCRAT,6365,TOTAL
2008,NORTH CAROLINA,NC,BERTIE,US PRESIDENT,JOHN MCCAIN,REPUBLICAN,3376,TOTAL
2008,NORTH CAROLINA,NC,BLADEN,US PRESIDENT,BARACK OBAMA,DEMOCRAT,7853,TOTAL
2008,NORTH CAROLINA,NC,BLADEN,US PRESIDENT,JOHN MCCAIN,REPUBLICAN,7532,TOTAL
2008,NORTH CAROLINA,NC,BRUNSWICK,US PRESIDENT,BARACK OBAMA,DEMOCRAT,21331,TOTAL
2008,NORTH CAROLINA,NC,BRUNSWICK,US PRESIDENT,JOHN MCCAIN,REPUBLICAN,30753,TOTAL
2008,NORTH CAROLINA,NC,BUNCOMBE,US PRESIDENT,BARACK OBAMA,DEMOCRAT,69716,TOTAL
2008,NORTH CAROLINA,NC,BUNCOMBE,US PRESIDENT,JOHN MCCAIN,REPUBLICAN,52494,TOTAL
2008,NORTH CAROLINA,NC,BURKE,US PRESIDENT,BARACK OBAMA,DEMOCRAT,14901,TOTAL
2008,NORTH CAROLINA,NC,BURKE,US PRESIDENT,JOHN MCCAIN,REPUBLICAN,22102,TOTAL
2008,NORTH CAROLINA,NC,CABARRUS,US PRESIDENT,BARACK OBAMA,DEMOCRAT,31546,TOTAL
2008,NORTH CAROLINA,NC,CABARRUS,US PRESIDENT,JOHN MCCAIN,REPUBLICAN,45924,TOTAL
2008,NORTH CAROLINA,NC,CALDWELL,US PRESIDENT,BARACK OBAMA,DEMOCRAT,12081,TOTAL
2008,NORTH CAROLINA,NC,CALDWELL,US PRESIDENT,JOHN MCCAIN,REPUBLICAN,22526,TOTAL
2008,NORTH CAROLINA,NC,CAMDEN,US PRESIDENT,BARACK OBAMA,DEMOCRAT,1597,TOTAL
2008,NORTH CAROLINA,NC,CAMDEN,US PRESIDENT,JOHN MCCAIN,REPUBLICAN,3140,TOTAL
2008,NORTH CAROLINA,NC,CARTERET,US PRESIDENT,BARACK OBAMA,DEMOCRAT,11130,TOTAL
2008,NORTH CAROLINA,NC,CARTERET,US PRESIDENT,JOHN MCCAIN,REPUBLICAN,23131,TOTAL
2008,NORTH CAROLINA,NC,CASWELL,US PRESIDENT,BARACK OBAMA,DEMOCRAT,5545,TOTAL
2008,NORTH CAROLINA,NC,CASWELL,US PRESIDENT,JOHN MCCAIN,REPUBLICAN,5208,TOTAL
2008,NORTH CAROLINA,NC,CATAWBA,US PRESIDENT,BARACK OBAMA,DEMOCRAT,25656,TOTAL
2008,NORTH CAROLINA,NC,CATAWBA,US PRESIDENT,JOHN MCCAIN,REPUBLICAN,42993,TOTAL
2008,NORTH CAROLINA,NC,CHATHAM,US PRESIDENT,BARACK OBAMA,DEMOCRAT,17862,TOTAL
2008,NORTH CAROLINA,NC,CHATHAM,US PRESIDENT,JOHN MCCAIN,REPUBLICAN,14668,TOTAL
2008,NORTH CAROLINA,NC,CHEROKEE,US PRESIDENT,BARACK OBAMA,DEMOCRAT,3785,TOTAL
2008,NORTH CAROLINA,NC,CHEROKEE,US PRESIDENT,JOHN MCCAIN,REPUBLICAN,8643,TOTAL
2008,NORTH CAROLINA,NC,CHOWAN,US PRESIDENT,BARACK OBAMA,DEMOCRAT,3688,TOTAL
2008,NORTH CAROLINA,NC,CHOWAN,US PRESIDENT,JOHN MCCAIN,REPUBLICAN,3773,TOTAL
2008,NORTH CAROLINA,NC,CLAY,US PRESIDENT,BARACK OBAMA,DEMOCRAT,1734,TOTAL
2008,NORTH CAROLINA,NC,CLAY,US PRESIDENT,JOHN MCCAIN,REPUBLICAN,3707,TOTAL
2008,NORTH CAROLINA,NC,CLEVELAND,US PRESIDENT,BARACK OBAMA,DEMOCRAT,17363,TOTAL
2008,NORTH CAROLINA,NC,CLEVELAND,US PRESIDENT,JOHN MCCAIN,REPUBLICAN,26078,TOTAL
2008,NORTH CAROLINA,NC,COLUMBUS,US PRESIDENT,BARACK OBAMA,DEMOCRAT,11076,TOTAL
2008,NORTH CAROLINA,NC,COLUMBUS,US PRESIDENT,JOHN MCCAIN,REPUBLICAN,12994,TOTAL
2008,NORTH CAROLINA,NC,CRAVEN,US PRESIDENT,BARACK OBAMA,DEMOCRAT,19352,TOTAL
2008,NORTH CAROLINA,NC,CRAVEN,US PRESIDENT,JOHN MCCAIN,REPUBLICAN,24901,TOTAL
2008,NORTH CAROLINA,NC,CUMBERLAND,US PRESIDENT,BARACK OBAMA,DEMOCRAT,74693,TOTAL
2008,NORTH CAROLINA,NC,CUMBERLAND,US PRESIDENT,JOHN MCCAIN,REPUBLICAN,52151,TOTAL
2008,NORTH CAROLINA,NC,CURRITUCK,US PRESIDENT,BARACK OBAMA,DEMOCRAT,3737,TOTAL
2008,NORTH CAROLINA,NC,CURRITUCK,US PRESIDENT,JOHN MCCAIN,REPUBLICAN,7234,TOTAL
2008,NORTH CAROLINA,NC,DARE,US PRESIDENT,BARACK OBAMA,DEMOCRAT,8074,TOTAL
2008,NORTH CAROLINA,NC,DARE,US PRESIDENT,JOHN MCCAIN,REPUBLICAN,9745,TOTAL
2008,NORTH CAROLINA,NC,DAVIDSON,US PRESIDENT,BARACK OBAMA,DEMOCRAT,22433,TOTAL
2008,NORTH CAROLINA,NC,DAVIDSON,US PRESIDENT,JOHN MCCAIN,REPUBLICAN,45419,TOTAL
2008,NORTH CAROLINA,NC,DAVIE,US PRESIDENT,BARACK OBAMA,DEMOCRAT,6178,TOTAL
2008,NORTH CAROLINA,NC,DAVIE,US PRESIDENT,JOHN MCCAIN,REPUBLICAN,13981,TOTAL
